#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -2   55    1   HB  4.13500  4.09400  4.55240  4.36420   42004137
    -2   56    1   HB  3.90440  3.61200  4.50800  3.93720   42004138
    -2   57    1   HB  3.96280  3.89080  4.27240  3.98160   42004139
    -2   58    1   HB  3.94120  4.05820  4.11080  4.09960   4200413A
    -2   59    1   HB  3.67160  2.87480  4.10160  3.51180   4200413B
    -2   60    1   HB  4.39480  4.15140  4.27380  4.20840   4200413C
    -2   61    1   HB  3.23400  2.94080  3.43680  3.13540   4200413D
    -2   62    1   HB  3.88120  3.53060  4.06520  3.83600   4200413E
    -2   63    1   HB  4.24500  4.20550  3.59050  4.06450   4200413F
    -2   64    1   HB  4.14950  4.09650  4.08700  4.04600   42004140
    -2   65    1   HB  4.05050  4.23200  4.49950  4.29200   42004141
    -2   66    1   HB  3.36179  4.00050  3.32974  5.01658   42004142
    -2   67    1   HB  3.08380  2.56820  3.17540  2.54460   42004143
    -2   68    1   HB  3.65280  3.98000  3.95600  3.79800   42004144
    -2   69    1   HB  3.76240  4.18320  4.13600  4.28700   42004145
    -2   70    1   HB  3.92100  3.47860  3.89580  3.77060   42004146
    -2   71    1   HB  3.92180  3.60100  3.89740  4.55780   42004147
    -2   72    1   HB  3.33380  3.58020  3.50480  3.32880   42004148
    -3    1    1   HB  3.87320  4.67140  4.42040  4.19980   42004181
    -3    2    1   HB  4.60220  3.73900  4.40700  4.14300   42004182
    -3    3    1   HB  3.63700  3.97020  3.80520  3.97100   42004183
    -3    4    1   HB  3.82720  3.67500  3.89720  3.61100   42004184
    -3    5    1   HB  3.60780  3.61300  3.93060  3.72920   42004185
    -3    6    1   HB  3.86740  3.56400  4.12112  4.56720   42004186
    -3    7    1   HB  3.96140  4.16020  4.12720  4.27160   42004187
    -3    8    1   HB  4.78540  5.20120  4.90160  5.08960   42004188
    -3    9    1   HB  3.23920  3.56740  3.63420  3.63840   42004189
    -3   10    1   HB  3.23400  3.46140  3.20360  3.40680   4200418A
    -3   11    1   HB  3.15200  3.38160  3.48320  3.43300   4200418B
    -3   12    1   HB  4.33840  4.59380  4.39740  4.51820   4200418C
    -3   13    1   HB  3.76900  3.38420  3.90400  3.76980   4200418D
